nama_daerah,negeri_id
Batu Pahat,1
Johor Bahru,1
Kluang,1
Kota Tinggi,1
Mersing,1
Muar,1
Pontian,1
Segamat,1
Kulai,1
Tangkak,1
Kota Setar,2
Kubang Pasu,2
Padang Terap,2
Langkawi,2
Kuala Muda,2
Yan,2
Sik,2
Baling,2
Kulim,2
Bandar Baharu,2
Pendang,2
Pokok Sena,2
Bachok,3
Kota Bharu,3
Machang,3
Pasir Mas,3
Pasir Puteh,3
Tanah Merah,3
Tumpat,3
Gua Musang,3
Kuala Krai,3
Jeli,3
Kecil Lojing,3
Melaka Tengah,4
Jasin,4
Alor Gajah,4
Jelebu,5
Kuala Pilah,5
Port Dickson,5
Rembau,5
Seremban,5
Tampin,5
Jempol,5
Bentong,6
Cameron Highlands,6
Jerantut,6
Kuantan,6
Lipis,6
Pekan,6
Raub,6
Temerloh,6
Rompin,6
Maran,6
Bera,6
Seberang Perai Tengah,7
Seberang Perai Utara,7
Seberang Perai Selatan,7
Timor Laut,7
Barat Daya,7
Batang Padang,8
Manjung,8
Kinta,8
Kerian,8
Kuala Kangsar,8
Larut & Matang,8
Hilir Perak,8
Hulu Perak,8
Selama,8
Perak Tengah,8
Kampar,8
Bagan Datuk,8
Muallim,8
Klang,10
Kuala Langat,10
Kuala Selangor,10
Sabak Bernam,10
Ulu Langat,10
Ulu Selangor,10
Petaling,10
Gombak,10
Sepang,10
Besut,11
Dungun,11
Kemaman,11
Kuala Terengganu,11
Hulu Terengganu,11
Marang,11
Setiu,11
Kuala Nerus,11
Kota Kinabalu,12
Papar,12
Kota Belud,12
Tuaran,12
Kudat,12
Ranau,12
Sandakan,12
Labuk & Sugut,12
Kinabatangan,12
Tawau,12
Lahad Datu,12
Semporna,12
Keningau,12
Tambunan,12
Pensiangan,12
Tenom,12
Beaufort,12
Kuala Penyu,12
Sipitang,12
Penampang,12
Kota Marudu,12
Pitas,12
Kunak,12
Tongod,12
Putatan,12
Kuching,13
Sri Aman,13
Sibu,13
Miri,13
Limbang,13
Sarikei,13
Kapit,13
Samarahan,13
Bintulu,13
Mukah,13
Betong,13
WPKL,14
WPL,15
WPP,16
Perlis,9
