KATEGORI,SUB-KATEGORI,DATA ASAS,KELAS,STATUS,HARGA,MS1759
Aeronautical,Ruang Udara (Air Space - AA ),Navigation Aid,,Tersedia,,AA0030
Aeronautical,Lapangan Terbang (Aerodrome- AB),Lapangan Terbang (Aerodrome),,Tersedia,,AB0010
Aeronautical,Lapangan Terbang (Aerodrome- AB),Padang Terbang (Airfield),,Tersedia,,AB0020
Aeronautical,Lapangan Terbang (Aerodrome- AB),Aerodrome Control Tower,,Tersedia,,AB0030
Aeronautical,Lapangan Terbang (Aerodrome- AB),Runway,,Tersedia,,AB0050
Aeronautical,Lapangan Terbang (Aerodrome- AB),Runway Strip,,Tersedia,,AB0060
Aeronautical,Lapangan Terbang (Aerodrome- AB),Stopway,,Tiada,,AB0070
Aeronautical,Lapangan Terbang (Aerodrome- AB),Clearway,,Tiada,,AB0080
Aeronautical,Lapangan Terbang (Aerodrome- AB),Approach Surface,,Tersedia,,AB0090
Aeronautical,Lapangan Terbang (Aerodrome- AB),Take-off Climb Surface,,Tiada,,AB0100
Aeronautical,Lapangan Terbang (Aerodrome- AB),Transitional Surface,,Tiada,,AB0110
Aeronautical,Lapangan Terbang (Aerodrome- AB),Inner Horizontal Surface,,Tiada,,AB0120
Aeronautical,Lapangan Terbang (Aerodrome- AB),Conical Surface,,Tiada,,AB0130
Aeronautical,Lapangan Terbang (Aerodrome- AB),Outer Horizontal Surface,,Tiada,,AB0140
Aeronautical,Lapangan Terbang (Aerodrome- AB),Obstacle Free Zone (OFZ),,Tiada,,AB0150
Aeronautical,Lapangan Terbang (Aerodrome- AB),Threshold,,Tersedia,,AB0160
Aeronautical,Lapangan Terbang (Aerodrome- AB),Holding Point,,Tiada,,AB0170
Aeronautical,Lapangan Terbang (Aerodrome- AB),Taxiway,,Tersedia,,AB0180
Aeronautical,Lapangan Terbang (Aerodrome- AB),Aircraft Parking Stand,,Tersedia,,AB0190
Aeronautical,Lapangan Terbang (Aerodrome- AB),Apron,,Tersedia,,AB0200
Aeronautical,Lapangan Terbang (Aerodrome- AB),Localiser,,Tersedia,,AB0210
Aeronautical,Lapangan Terbang (Aerodrome- AB),Glideslope,,Tersedia,,AB0220
Aeronautical,Lapangan Terbang (Aerodrome- AB),Wind Direction Indicator,,Tersedia,,AB0250
Aeronautical,Lapangan Terbang (Aerodrome- AB),Obstacle,,Tersedia,,AB0260
Aeronautical,Lapangan Terbang (Aerodrome- AB),Aeronautical Ground Lighting,,Tersedia,,AB0290
Aeronautical,Lapangan Terbang (Aerodrome- AB),Heli Port,,Tiada,,
Aeronautical,Lapangan Terbang (Aerodrome- AB),Final Approach and Take-off Area,,Tiada,,AB0310
Aeronautical,Lapangan Terbang (Aerodrome- AB),Touchdown and Lift Off Area,,Tiada,,AB0320
Built Environment,Kediaman (Residential - BA),Bangunan Kediaman (Resident Building),,Tersedia,,BA0010
Built Environment,Komersial (Commercial - BB),Bangunan Komersial (Commercial Building),,Tersedia,,BB0010
Built Environment,Komersial (Commercial - BB),Pejabat (Office),,Tersedia,,BB0030
Built Environment,Komersial (Commercial - BB),Rumah Kedai (Shop Office/Shop House),,Tersedia,,BB0031
Built Environment,Komersial (Commercial - BB),Pejabat Pos (Post Office),,Tersedia,,BB0040
Built Environment,Komersial (Commercial - BB),Bank,,Tersedia,,BB0050
Built Environment,Komersial (Commercial - BB),Hotel,,Tersedia,,BB0060
Built Environment,Komersial (Commercial - BB),Apartel,,Tersedia,,BB0061
Built Environment,Komersial (Commercial - BB),Pasar (Market),,Tersedia,,BB0070
Built Environment,Komersial (Commercial - BB),Pusat Beli-belah (Shopping Arcade/Complex),,Tiada,,BB0080
Built Environment,Komersial (Commercial - BB),Pasar Raya Besar (Hypermarket/Supermarket),,Tersedia,,BB0081
Built Environment,Komersial (Commercial - BB),Kedai Runcit (Retail),,Tiada,,BB0082
Built Environment,Komersial (Commercial - BB),Pusat Hiburan (Entertainment Centre),,Tersedia,,BB0090
Built Environment,Komersial (Commercial - BB),Restoran (Restaurant),,Tersedia,,BB0100
Built Environment,Industri (Industrial - BC),Bangunan Industri (Industrial Building),,Tersedia,,BC0010
Built Environment,,Hospital,,Tersedia,,BD0020
Built Environment,,Klinik (Clinic),,Tersedia,,BD0021
Built Environment,,Balai Bomba dan Penyelamat (Fire and Rescue Station),,Tersedia,,BD0030
Built Environment,,Balai Polis (Police Station),,Tersedia,,BD0040
Built Environment,,Pusat Latihan Polis (Police Traning Centre),,Tiada,,BD0041
Built Environment,,Pondok Bit Polis (Police Beat),,Tersedia,,BD0042
Built Environment,,Pusat Penahanan (Detention Centre),,Tiada,,BD0043
Built Environment,,Pusat Pemulihaan (Rehabilitation Centre),,Tersedia,,BD0044
Built Environment,,Penjara (Prison),,Tersedia,,BD0045
Built Environment,,Pejabat Kerajaan (Government Office),,Tersedia,,BD0060
Built Environment,,Dewan Bandaraya (Town Hall),,Tiada,,BD0072
Built Environment,,Mahkamah (Court),,Tersedia,,BD0080
Built Environment,,Muzium (Museum),,Tersedia,,BD0090
Built Environment,,Pusat Sains (Science Centre),,Tersedia,,BD0100
Built Environment,,Teater Seni (Art Theatre),,Tiada,,BD0110
Built Environment,,Perpustakaan (Library),,Tersedia,,BD0120
Built Environment,,Bangunan Memorial (Memorial),,Tiada,,BD0130
Built Environment,,Multi Purpose House,,Tersedia,,BD0150
Built Environment,,Balai Raya (Community Hall),,Tersedia,,BD0151
Built Environment,,Asrama (Hostel),,Tersedia,,BD0152
Built Environment,,Asrama Belia (Youth Hostel),,Tiada,,BD0153
Built Environment,,Kelab Belia(Youth Club),,Tiada,,BD0154
Built Environment,,Rumah Persatuan (Club House),,Tiada,,BD0155
Built Environment,,Rumah Kebajikan (Welfare Home),,Tersedia,,BD0160
Built Environment,,Rumah Penjagaan Orang Tua (Old Folk Home),,Tiada,,BD0161
Built Environment,,Rumah Kanak-kanak Cacat (Handicapped Home),,Tersedia,,BD0162
Built Environment,,Rumah Anak Yatim (Orphanage),,Tersedia,,BD0163
Built Environment,,Stesen Pertanian (Agricultural Station),,Tiada,,BD0170
Built Environment,Pendidikan (Educational - BE),Bangunan Pendidikan (Educational Building),,Tersedia,,BE0010
Built Environment,Keagamaan (Religious – BF),Bangunan Keagamaan (Building of Worship),,Tersedia,,BF0010
Built Environment,Kemudahan Rekreasi (Recreational - BG),Stadium,,Tersedia,,BG0010
Built Environment,Kemudahan Rekreasi (Recreational - BG),Kompleks Sukan (Sport Complex),,Tersedia,,BG0020
Built Environment,Kemudahan Rekreasi (Recreational - BG),Kompleks Renang (Swimming Complex),,Tersedia,,BG0030
Built Environment,Kemudahan Rekreasi (Recreational - BG),Kolam Renang (Swimming Pool),,Tersedia,,BG0040
Built Environment,Kemudahan Rekreasi (Recreational - BG),Arena Basikal (Velodrome),,Tiada,,
Built Environment,Kemudahan Rekreasi (Recreational - BG),Taman Permainan (Play Groud),,Tersedia,,BG0060
